"filename", "language", "PHP", "JavaScript", "Markdown", "JSON", "XML", "PostCSS", "MySQL SQL", "comment", "blank", "total"
"d:\ITU\FinanSchool\FinanSchool\Backend\README.md", "Markdown", 0, 0, 40, 0, 0, 0, 0, 0, 22, 62
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Console\Commands\CheckComptesNonAffectes.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 0, 9, 53
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Console\Commands\NotifClotureExerciceProche.php", "PHP", 64, 0, 0, 0, 0, 0, 0, 6, 13, 83
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Console\Commands\NotifOuvertureClotureExercice.php", "PHP", 61, 0, 0, 0, 0, 0, 0, 2, 9, 72
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Console\Commands\NotificationImport.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 0, 9, 56
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Console\Kernel.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 2, 6, 27
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Events\MouvementCreated.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 7, 6, 37
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Events\NotificationCreee.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Helpers\ErrorHelper.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 2, 5, 18
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\Analyse\CoutEtProfitController.php", "PHP", 684, 0, 0, 0, 0, 0, 0, 62, 141, 887
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\Analyse\IndicateurLiquiditeController.php", "PHP", 164, 0, 0, 0, 0, 0, 0, 31, 28, 223
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\Analyse\IndicateurPedagogiqueController.php", "PHP", 273, 0, 0, 0, 0, 0, 0, 40, 46, 359
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\Analyse\IndicateurRentabiliteController.php", "PHP", 292, 0, 0, 0, 0, 0, 0, 57, 63, 412
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\Analyse\IndicateurSolvabiliteController.php", "PHP", 165, 0, 0, 0, 0, 0, 0, 35, 32, 232
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\Analyse\IndicateursGenerauxController.php", "PHP", 181, 0, 0, 0, 0, 0, 0, 29, 30, 240
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\Api\TestController.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\Auth\AuthController.php", "PHP", 108, 0, 0, 0, 0, 0, 0, 23, 27, 158
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\Auth\ForgotPasswordController.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 2, 8, 35
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\Auth\ResetPasswordController.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 8, 37
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\ChatBot\ChatController.php", "PHP", 123, 0, 0, 0, 0, 0, 0, 11, 25, 159
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\ChatBot\ChatEtatsFinanciersController.php", "PHP", 203, 0, 0, 0, 0, 0, 0, 33, 34, 270
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\ChatBot\ChatGrandLivresController.php", "PHP", 121, 0, 0, 0, 0, 0, 0, 28, 32, 181
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\ChatBot\ChatJournalController.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 8, 8, 59
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\ChatBot\ChatSousCompteController.php", "PHP", 142, 0, 0, 0, 0, 0, 0, 22, 40, 204
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\ChatBot\ChatUtilesController.php", "PHP", 78, 0, 0, 0, 0, 0, 0, 5, 16, 99
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\ChatBot\ChatsController.php", "PHP", 161, 0, 0, 0, 0, 0, 0, 14, 31, 206
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\ChatBot\DepensesProfitsController.php", "PHP", 108, 0, 0, 0, 0, 0, 0, 5, 16, 129
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\Controller.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 1, 3, 9
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\ParametresAnalytique\AffectationAnalytiqueController.php", "PHP", 437, 0, 0, 0, 0, 0, 0, 45, 88, 570
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\ParametresAnalytique\AxeAnalytiqueController.php", "PHP", 74, 0, 0, 0, 0, 0, 0, 3, 27, 104
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\ParametresAnalytique\CentreAnalytiqueController.php", "PHP", 92, 0, 0, 0, 0, 0, 0, 10, 26, 128
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\ParametresAnalytique\CodeAnalytiqueController.php", "PHP", 85, 0, 0, 0, 0, 0, 0, 8, 25, 118
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\ParametresAnalytique\IndicateurAnalytiqueController.php", "PHP", 94, 0, 0, 0, 0, 0, 0, 18, 21, 133
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\ParametresAnalytique\InterpretationIndicateurController.php", "PHP", 121, 0, 0, 0, 0, 0, 0, 23, 28, 172
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\ParametresAnalytique\NiveauAlerteController.php", "PHP", 87, 0, 0, 0, 0, 0, 0, 16, 20, 123
"d:\ITU\FinanSchool\FinanSchool\Backend\app\Http\Controllers\ParametresAnalytique\TypeCentreController.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 10, 46
