Date;Sous-compte;Libelle;Debit;Credit;Reference;CODE
03/01/2024;601006;Achat legumes;13500;0;CANTINE-20240103;BNI
03/01/2024;531001;Achat legumes;0;13500;CANTINE-20240103;BNI
04/01/2024;601008;Achat viande;16500;0;CANTINE-20240104;BNI
04/01/2024;531001;Achat viande;0;16500;CANTINE-20240104;BNI
05/01/2024;601009;Achat gouter;5800;0;CANTINE-20240105;BNI
05/01/2024;531001;Achat gouter;0;5800;CANTINE-20240105;BNI
08/01/2024;601006;Achat legumes;14000;0;CANTINE-20240108;BNI
08/01/2024;531001;Achat legumes;0;14000;CANTINE-20240108;BNI
09/01/2024;601008;Achat viande;17000;0;CANTINE-20240109;BNI
09/01/2024;531001;Achat viande;0;17000;CANTINE-20240109;BNI
10/01/2024;601009;Achat gouter;6000;0;CANTINE-20240110;BNI
10/01/2024;531001;Achat gouter;0;6000;CANTINE-20240110;BNI
11/01/2024;601006;Achat legumes;14500;0;CANTINE-20240111;BNI
11/01/2024;531001;Achat legumes;0;14500;CANTINE-20240111;BNI
12/01/2024;601008;Achat viande;17500;0;CANTINE-20240112;BNI
12/01/2024;531001;Achat viande;0;17500;CANTINE-20240112;BNI
15/01/2024;601009;Achat gouter;6200;0;CANTINE-20240115;BNI
15/01/2024;531001;Achat gouter;0;6200;CANTINE-20240115;BNI
16/01/2024;601006;Achat legumes;14800;0;CANTINE-20240116;BNI
16/01/2024;531001;Achat legumes;0;14800;CANTINE-20240116;BNI
17/01/2024;601008;Achat viande;17800;0;CANTINE-20240117;BNI
17/01/2024;531001;Achat viande;0;17800;CANTINE-20240117;BNI
18/01/2024;601009;Achat gouter;6400;0;CANTINE-20240118;BNI
18/01/2024;531001;Achat gouter;0;6400;CANTINE-20240118;BNI
19/01/2024;601006;Achat legumes;15100;0;CANTINE-20240119;BNI
19/01/2024;531001;Achat legumes;0;15100;CANTINE-20240119;BNI
22/01/2024;706001;Ecolage divers élèves;0;1520000;ECOL-20240122;BNI
22/01/2024;531001;Ecolage divers élèves;1520000;0;ECOL-20240122;BNI
25/01/2024;641002;Paiement salaire maitresse;250000;0;SALAIRE-20240125;BNI
25/01/2024;641004;Paiement salaire gardien;180000;0;SALAIRE-20240125;BNI
25/01/2024;641005;Paiement femme de ménage;150000;0;SALAIRE-20240125;BNI
25/01/2024;531001;Paiement salaires;0;580000;SALAIRE-20240125;BNI
27/01/2024;605004;Jirama;31200;0;JIRAMA-20240127;BNI
27/01/2024;531001;Jirama;0;31200;JIRAMA-20240127;BNI
30/01/2024;601001;Achat fournitures scolaires;128000;0;FOURN-20240130;BNI
30/01/2024;401001;Achat fournitures scolaires;0;128000;FOURN-20240130;BNI
31/01/2024;401001;Règlement fournisseur;128000;0;REG-FOURN-20240131;BNI
31/01/2024;531001;Règlement fournisseur;0;128000;REG-FOURN-20240131;BNI
