Date;Sous-compte;Libelle;Debit;Credit;Reference;CODE
07/08/2025;706001;Ecolage irianja TPS;0;150000;ECOL-20250807;CSS
07/08/2025;531001;Ecolage irianja TPS;150000;0;ECOL-20250807;CSS
07/08/2025;706001;Ecolage Vaniala 4è;0;150000;ECOL-20250807;CSS
07/08/2025;531001;Ecolage Vaniala 4è;150000;0;ECOL-20250807;CSS
07/08/2025;706001;Ecolage Tommy PS;0;150000;ECOL-20250807;CSS
07/08/2025;531001;Ecolage Tommy PS;150000;0;ECOL-20250807;CSS
07/08/2025;706001;Ecolage Tohy TPS;0;150000;ECOL-20250807;CSS
07/08/2025;531001;Ecolage Tohy TPS;150000;0;ECOL-20250807;CSS
07/08/2025;706001;Ecolage Ilaina TPS;0;150000;ECOL-20250807;CSS
07/08/2025;531001;Ecolage Ilaina TPS;150000;0;ECOL-20250807;CSS
07/08/2025;706001;Ecolage Miantsoa TPS;0;150000;ECOL-20250807;CSS
07/08/2025;531001;Ecolage Miantsoa TPS;150000;0;ECOL-20250807;CSS
07/08/2025;706001;Ecolage Tsinjo TPS;0;150000;ECOL-20250807;CSS
07/08/2025;531001;Ecolage Tsinjo TPS;150000;0;ECOL-20250807;CSS
07/08/2025;601006;Achat legumes;25000;0;cantine--1;CSS
07/08/2025;531001;Achat legumes;0;25000;cantine--1;CSS
08/08/2025;601008;Achat viande;30000;0;cantine--1;CSS
08/08/2025;601009;Achat gouter;10000;0;cantine--1;CSS
08/08/2025;531001;denrees alimentaires;0;40000;cantine--1;CSS
08/08/2025;706001;Ecolage Mia TPS;0;150000;ECOL-20250808;CSS
08/08/2025;531001;Ecolage Mia TPS;150000;0;ECOL-20250808;CSS
08/08/2025;706001;Ecolage Alice TPS aout sept oct;0;150000;ECOL-20250808;CSS
08/08/2025;531001;Ecolage Alice TPS aout sept oct;150000;0;ECOL-20250808;CSS
08/08/2025;706001;Ecolage Illan TPS;0;150000;ECOL-20250808;CSS
08/08/2025;531001;Ecolage Illan TPS;150000;0;ECOL-20250808;CSS
08/08/2025;605004;Jirama;32500;0;Jirama-080825;CSS
08/08/2025;531001;Jirama;0;32500;Jirama-080825;CSS
08/08/2025;168001;Ech�ancier pr�t bancaire;1200000;0;Pr�t;CSS
08/08/2025;531001;Ech�ancier pr�t bancaire;0;1200000;Pr�t;CSS
08/08/2025;581001;Versement en banque BMOI;100000;0;VERS080825;CSS
08/08/2025;531001;Versement en banque BMOI;0;100000;VERS080825;CSS
08/08/2025;601001;Achat cahier registre;10000;0;ACHATCAHIER;CSS
08/08/2025;531001;Achat cahier registre;0;10000;ACHATCAHIER;CSS
08/08/2025;706001;Ecolage Didan TPS 10 MOIS;0;1500000;ECOL-20250808;CSS
08/08/2025;531001;Ecolage Didan TPS 10 MOIS;1500000;0;ECOL-20250808;CSS
08/08/2025;641002;Paiement salaire maitresse A;250000;0;SALAIREENS;CSS
08/08/2025;531001;Paiement salaire maitresse A;0;250000;SALAIREENS;CSS
11/08/2025;641002;Paiement salaire maitresse B;250000;0;SALAIREENS;CSS
11/08/2025;641002;Paiement salaire maitresse C;250000;0;SALAIREENS;CSS
11/08/2025;531001;Paiement salaire maitresse B C;0;500000;SALAIREENS;CSS
11/08/2025;581001;Appro caisse via BMOI;0;2500000;APPRO;CSS
11/08/2025;531001;Appro caisse via BMOI;2500000;0;APPRO;CSS
11/08/2025;641004;Paiement salaire gardien;250000;0;SALAIREPERS;CSS
11/08/2025;641005;Paiement salaire femme de m�nage;250000;0;SALAIREPERS;CSS
11/08/2025;531001;Paiement salaire DU PERSONNEL;0;500000;SALAIREPERS;CSS
