Date;Sous-compte;Libelle;Debit;Credit;Reference
01/07/2024;512001;Perception frais de scolarite rentree;15000000;0;FACT-20240701
01/07/2024;706001;Perception frais de scolarite rentree;0;15000000;FACT-20240701
05/07/2024;603001;Achat fournitures bureau;850000;0;FACT-FOUR-001
05/07/2024;512001;Achat fournitures bureau;0;850000;FACT-FOUR-001
10/07/2024;621001;Paiement salaires enseignants juillet;8000000;0;SAL-JUL24
10/07/2024;622001;Paiement salaires administratifs juillet;3500000;0;SAL-JUL24
10/07/2024;512001;Paiement salaires juillet;0;11500000;SAL-JUL24
01/08/2024;611001;Paiement loyer batiments aout;2500000;0;LOY-AOU24
01/08/2024;512001;Paiement loyer batiments aout;0;2500000;LOY-AOU24
05/08/2024;605001;Facture electricite aout;450000;0;FACT-EDL-AOU24
05/08/2024;512001;Facture electricite aout;0;450000;FACT-EDL-AOU24
10/08/2024;621001;Paiement salaires enseignants aout;8000000;0;SAL-AOU24
10/08/2024;512001;Paiement salaires aout;0;8000000;SAL-AOU24
15/09/2024;604002;Achat tableaux pedagogiques;1200000;0;FACT-MAT-001
15/09/2024;512001;Achat tableaux pedagogiques;0;1200000;FACT-MAT-001
20/09/2024;633001;Achat riz cantine septembre;1800000;0;FACT-CANT-01
20/09/2024;512001;Achat riz cantine septembre;0;1800000;FACT-CANT-01
01/10/2024;512001;Perception frais trimestriels octobre;12000000;0;FACT-20241001
01/10/2024;706001;Perception frais trimestriels octobre;0;12000000;FACT-20241001
10/11/2024;612001;Reparation batiments;750000;0;FACT-REP-01
10/11/2024;512001;Reparation batiments;0;750000;FACT-REP-01
15/12/2024;636001;Organisation fete de fin d'annee;500000;0;FACT-FETE-24
15/12/2024;512001;Organisation fete de fin d'annee;0;500000;FACT-FETE-24
05/01/2025;512001;Perception frais 2eme semestre;13000000;0;FACT-20250105
05/01/2025;706001;Perception frais 2eme semestre;0;13000000;FACT-20250105
01/02/2025;602001;Achat cahiers et papiers;600000;0;FACT-FOUR-02
01/02/2025;512001;Achat cahiers et papiers;0;600000;FACT-FOUR-02
10/03/2025;512001;Reception subvention etat;5000000;0;SUB-ETAT-25
10/03/2025;741001;Reception subvention etat;0;5000000;SUB-ETAT-25
30/04/2025;641001;Amortissement tables et chaises;800000;0;AMORT-2025
30/04/2025;281001;Amortissement tables et chaises;0;800000;AMORT-2025
30/04/2025;642001;Amortissement ordinateurs;1200000;0;AMORT-2025
30/04/2025;280001;Amortissement ordinateurs;0;1200000;AMORT-2025
31/05/2025;645001;Provision creances douteuses;1500000;0;PROV-2025
31/05/2025;491001;Provision creances douteuses;0;1500000;PROV-2025
30/06/2025;120001;Benefice exercice 2024-2025;0;13350000;CLOT-2025
30/06/2025;119001;Report a nouveau benefice;13350000;0;CLOT-2025
