Date;Sous-compte;Libelle;Debit;Credit;Reference;CODE
01/07/2025;512001;Perception frais de scolarite rentree 2025;16000000;0;FACT-20250701;BQ
01/07/2025;706001;Perception frais de scolarite rentree 2025;0;16000000;FACT-20250701;BQ
05/07/2025;603001;Achat fournitures bureau;900000;0;FACT-FOUR-025;BQ
05/07/2025;512001;Achat fournitures bureau;0;900000;FACT-FOUR-025;BQ
10/07/2025;621001;Paiement salaires enseignants juillet;8500000;0;SAL-JUL25;BQ
10/07/2025;622001;Paiement salaires administratifs juillet;3800000;0;SAL-JUL25;BQ
10/07/2025;512001;Paiement salaires juillet;0;12300000;SAL-JUL25;BQ
01/08/2025;611001;Paiement loyer batiments aout;2600000;0;LOY-AOU25;BQ
01/08/2025;512001;Paiement loyer batiments aout;0;2600000;LOY-AOU25;BQ
05/08/2025;605001;Facture electricite aout;480000;0;FACT-EDL-AOU25;BQ
05/08/2025;512001;Facture electricite aout;0;480000;FACT-EDL-AOU25;BQ
15/09/2025;604001;Achat tables et chaises nouvelles;2500000;0;FACT-MOB-025;BQ
15/09/2025;512001;Achat tables et chaises nouvelles;0;2500000;FACT-MOB-025;BQ
20/09/2025;633001;Achat riz cantine septembre;2000000;0;FACT-CANT-025;BQ
20/09/2025;512001;Achat riz cantine septembre;0;2000000;FACT-CANT-025;BQ
01/10/2025;512001;Perception frais trimestriels octobre;12500000;0;FACT-20251001;BQ
01/10/2025;706001;Perception frais trimestriels octobre;0;12500000;FACT-20251001;BQ
10/11/2025;612002;Reparation materiel scolaire;600000;0;FACT-REP-025;BQ
10/11/2025;512001;Reparation materiel scolaire;0;600000;FACT-REP-025;BQ
15/12/2025;636001;Organisation fete de fin d'annee;550000;0;FACT-FETE-25;BQ
15/12/2025;512001;Organisation fete de fin d'annee;0;550000;FACT-FETE-25;BQ
05/01/2026;512001;Perception frais 2eme semestre;13500000;0;FACT-20260105;BQ
05/01/2026;706001;Perception frais 2eme semestre;0;13500000;FACT-20260105;BQ
01/02/2026;602001;Achat cahiers et papiers;650000;0;FACT-FOUR-026;BQ
01/02/2026;512001;Achat cahiers et papiers;0;650000;FACT-FOUR-026;BQ
10/03/2026;512001;Reception subvention etat;5500000;0;SUB-ETAT-26;BQ
10/03/2026;741001;Reception subvention etat;0;5500000;SUB-ETAT-26;BQ
30/04/2026;641001;Amortissement tables et chaises;850000;0;AMORT-2026;BQ
30/04/2026;281001;Amortissement tables et chaises;0;850000;AMORT-2026;BQ
30/04/2026;642001;Amortissement ordinateurs;1300000;0;AMORT-2026;BQ
30/04/2026;280001;Amortissement ordinateurs;0;1300000;AMORT-2026;BQ
31/05/2026;645001;Provision creances douteuses;1200000;0;PROV-2026;BQ
31/05/2026;491001;Provision creances douteuses;0;1200000;PROV-2026;BQ
30/06/2026;120001;Benefice exercice 2025-2026;0;19500000;CLOT-2026;BQ
30/06/2026;129001;Report a nouveau benefice;19500000;0;CLOT-2026;BQ
