Date;Sous-compte;Libelle;Debit;Credit;Reference;CODE
01/01/2025;101001;Capital social;0.00;1600000000.00;BALANCE-2025;BNI
01/01/2025;106001;R�serves l�gales;0.00;200000.00;BALANCE-2025;BNI
01/01/2025;110100;Report � nouveau solde cr�diteur;0.00;138025472.64;BALANCE-2025;BNI
01/01/2025;119100;Report � nouveau solde d�biteur;606030230.33;0.00;BALANCE-2025;BNI
01/01/2025;165100;D�p�t et cautionnement re�u;0.00;9512346.67;BALANCE-2025;BNI
01/01/2025;207100;Droit au Bail;3835620000.00;0.00;BALANCE-2025;BNI
01/01/2025;215001;Autres mat�riels;36406870.50;0.00;BALANCE-2025;BNI
01/01/2025;218001;Materiels & Equipements de Bureau;745000.00;0.00;BALANCE-2025;BNI
01/01/2025;218001;Mat�riels de logements;13003577.49;0.00;BALANCE-2025;BNI
01/01/2025;218001;Agencement et am�nagement construct;360611456.23;0.00;BALANCE-2025;BNI
01/01/2025;218001;Mat�riels et outillages;2875000.00;0.00;BALANCE-2025;BNI
01/01/2025;275100;D�p�t et cautionnement vers�;390000.00;0.00;BALANCE-2025;BNI
01/01/2025;280001;Amort. Droit au bail;0.00;613699200.00;BALANCE-2025;BNI
01/01/2025;281001;Amort. autres materiels;0.00;36252072.72;BALANCE-2025;BNI
01/01/2025;281001;Amort. Mat�riels de bureau;0.00;744999.87;BALANCE-2025;BNI
01/01/2025;281001;Amort. Materiels de logement;0.00;12584046.24;BALANCE-2025;BNI
01/01/2025;281001;Amort. Am�nagement constructions;0.00;360111456.29;BALANCE-2025;BNI
01/01/2025;281001;Amort. Materiels & outillages;0.00;2875000.03;BALANCE-2025;BNI
01/01/2025;321001;Stocks Consommables d'entretien;122290.00;0.00;BALANCE-2025;BNI
01/01/2025;321001;Stocks Produits d'entretien;678360.00;0.00;BALANCE-2025;BNI
01/01/2025;321001;Stocks Mat�riaux de construction;330343.84;0.00;BALANCE-2025;BNI
01/01/2025;321001;Stocks Diverses fournitures;485157.89;0.00;BALANCE-2025;BNI
01/01/2025;401001;Fournisseurs locaux biens et servic;0.00;916569.44;BALANCE-2025;BNI
01/01/2025;408100;Fournisseurs factures non parvenues;0.00;3000000.00;BALANCE-2025;BNI
01/01/2025;411001;Clients locaux;59320868.15;0.00;BALANCE-2025;BNI
01/01/2025;426100;Allocation familiale CNaPS;0.00;56000.00;BALANCE-2025;BNI
01/01/2025;428100;Personnel charges � payer et prBNIui;0.00;2316583.03;BALANCE-2025;BNI
01/01/2025;438100;Diverses organismes sociaux;0.00;440150.78;BALANCE-2025;BNI
01/01/2025;444100;ETAT. IR � PAYER;0.00;4656041.00;BALANCE-2025;BNI
01/01/2025;444100;ETAT. Acompte IR;29041958.17;0.00;BALANCE-2025;BNI
01/01/2025;445001;ETAT. TVA D�ductible sur SERVICES;977443.18;0.00;BALANCE-2025;BNI
01/01/2025;445001;ETAT. TVA D�ductible sur Frais fin;6000.00;0.00;BALANCE-2025;BNI
01/01/2025;445001;ETAT. TVA Collect�e sur VENTES;0.00;12334994.56;BALANCE-2025;BNI
01/01/2025;445001;ETAT. Cr�dit TVA Reportable;480748616.13;0.00;BALANCE-2025;BNI
