Date;Sous-compte;Libelle;Debit;Credit;Reference;CODE
02/01/2023;512001;Apport en capital (BNI);15000000;0;CAP-20230102;BNI
02/01/2023;101002;Capital apporté fondateurs privés;0;15000000;CAP-20230102;BNI
10/01/2023;213001;Construction bâtiment administratif (facture);25000000;0;BAT-20230110;CAI
10/01/2023;401001;Fournisseur construction;0;25000000;BAT-20230110;CAI
05/02/2023;401001;Règlement fournisseur construction (acompte);8000000;0;BATREG-20230205;BNI
05/02/2023;512001;Paiement BNI;0;8000000;BATREG-20230205;BNI
10/04/2023;401001;Règlement fournisseur construction (solde);17000000;0;BATREG-20230410;BNI
10/04/2023;512001;Paiement BNI;0;17000000;BATREG-20230410;BNI
02/03/2023;215001;Achat matériel informatique (facture);2500000;0;INFO-20230302;CAI
02/03/2023;401001;Fournisseur informatique;0;2500000;INFO-20230302;CAI
15/03/2023;401001;Règlement fournisseur informatique;2500000;0;INFOREG-20230315;BNI
15/03/2023;512001;Paiement BNI;0;2500000;INFOREG-20230315;BNI
20/01/2023;530000;Encaissement scolarité caisse;2000000;0;SCOL-202301;CAI
20/01/2023;706001;Frais de scolarité 2023-01;0;2000000;SCOL-202301;CAI
20/01/2023;530000;Encaissement scolarité caisse;750000;0;SCOL-202301;CAI
20/01/2023;706004;Frais de cantine 2023-01;0;750000;SCOL-202301;CAI
02/01/2023;601006;Achat légumes cantine;12000;0;CANT-LEG-202301;CAI
02/01/2023;530000;Paiement caisse;0;12000;CANT-LEG-202301;CAI
03/01/2023;601008;Achat viande cantine;15000;0;CANT-VIA-202301;CAI
03/01/2023;530000;Paiement caisse;0;15000;CANT-VIA-202301;CAI
04/01/2023;601009;Achat goûter élèves;5500;0;CANT-GOT-202301;CAI
04/01/2023;530000;Paiement caisse;0;5500;CANT-GOT-202301;CAI
06/01/2023;322002;Achat fournitures scolaires (stock) - facture;250000;0;FOUR-202301;CAI
06/01/2023;401001;Fournisseur fournitures scolaires;0;250000;FOUR-202301;CAI
