compte;centre;taux;description;code_type
602;Pédagogie;100;Achats fournitures scolaires;COUT
604;Pédagogie;100;Petit matériel pédagogique;COUT
701;Ventes;100;Ventes produits finis;PROFIT
702;Ventes;100;Ventes produits intermédiaires;PROFIT
704;Ventes;100;Ventes de travaux;PROFIT
705;Ventes;100;Vente études;PROFIT
614;Communication;100;Publicité;COUT
603;Administration;100;Fournitures bureau;COUT
671;Administration;100;Pénalités et amendes;COUT
672;Administration;100;Charges exceptionnelles;COUT
753;Administration;100;Jetons de présence;PROFIT
757;Administration;100;Produits exceptionnels;PROFIT
758;Administration;100;Autres produits courants;PROFIT
633;Restauration;100;Cantine scolaire;COUT
635;Transport;100;Transport scolaire;COUT
644;Transport;100;Amortissements véhicules;COUT
605;Infrastructure;100;Achats énergie;COUT
606;Infrastructure;100;Produits entretien;COUT
611;Infrastructure;100;Loyers et charges;COUT
612;Infrastructure;100;Entretien et réparations;COUT
641;Infrastructure;100;Amortissements mobilier;COUT
642;Infrastructure;100;Amortissements matériel informatique;COUT
643;Infrastructure;100;Amortissements bâtiments;COUT
781;Infrastructure;100;Reprise exploitation actifs;PROFIT
607;Activités;100;Autres approvisionnements;COUT
708;Activités;100;Produits annexes;PROFIT
706;Ventes;100;Prestations de service;PROFIT
707;Ventes;100;Ventes marchandises;PROFIT
709;Ventes;100;Rabais remises ristournes;COUT
651;Finances;100;Intérêts emprunts;COUT
659;Finances;100;Autres charges financières;COUT
741;Finances;100;Subvention d'équilibre;PROFIT
748;Finances;100;Autres subventions exploitation;PROFIT
754;Finances;100;Quotes parts subventions;PROFIT
756;Finances;100;Libéralités perçues;PROFIT
761;Finances;100;Produits participations;PROFIT
763;Finances;100;Revenus autres créances;PROFIT
764;Finances;100;Revenus valeurs mobilières;PROFIT
766;Finances;100;Gains de change;PROFIT
768;Finances;100;Autres produits financiers;PROFIT
786;Finances;100;Reprises financières;PROFIT
613;Sécurité;100;Assurances;COUT
617;Sécurité;100;Surveillance et sécurité;COUT
621;RH;100;Salaires enseignants;COUT
622;RH;100;Salaires administratifs;COUT
625;RH;100;Charges sociales;COUT
721;Production;100;Production immobilisée incorporelle;PROFIT
722;Production;100;Production immobilisée corporelle;PROFIT
751;Production;100;Redevances concessions;PROFIT
752;Production;100;Plus values cessions;PROFIT
713;Production;100;Variation stocks en cours;COUT
714;Production;100;Variation stocks produits;COUT
785;Production;100;Reprise exploitation actifs courants;PROFIT
