nom;description;axe
Pédagogie;Support pédagogique et matériel;FONCTION
Administration;Gestion administrative et financière;FONCTION
Restauration;Service de restauration scolaire;FONCTION
Transport;Transport scolaire et véhicules;FONCTION
Infrastructure;Maintenance des bâtiments et équipements;FONCTION
Activités;Activités parascolaires et événements;FONCTION
Ventes;Ventes et prestations de services;FONCTION
Finances;Gestion financière et subventions;FONCTION
Sécurité;Sécurité et assurances;FONCTION
RH;Ressources humaines et paie;FONCTION
Production;Production et immobilisations;FONCTION
