code;libelle;plage_de_extension
SAL01;Salaires enseignants;
SAL02;Salaires personnel administratif;
SAL03;Salaires personnel d'entretien / cantine / garderie;
BEN01;Cotisations sociales employeur (sécurité sociale, retraite);
BEN02;Avantages sociaux (assurances santé, mutuelle);
BON01;Primes et bonus (performance, ancienneté);
TRN01;Formation continue du personnel;
REC01;Recrutement et frais de sélection (annonces, entretiens);
PED01;Manuels scolaires et livres pédagogiques;
PED02;Fournitures pédagogiques (matériel enseignant);
ICT01;Matériel informatique (ordinateurs, tablettes);
ICT02;Logiciels, licences et abonnements pédagogiques;
LIB01;Achat & renouvellement bibliothèque / médias;
EXA01;Frais d'organisation des examens et évaluations;
ACT01;Activités extrascolaires (ateliers, clubs, sorties pédagogiques);
UTI01;Électricité;
UTI02;Eau et assainissement;
UTI03;Téléphone & Internet;
CLEAN1;Produits et services de nettoyage;
SEC01;Sécurité (gardiennage, contrôle d'accès);
ASS01;Assurances (bâtiment, responsabilité civile);
ENT01;Entretien courant bâtiments (petits travaux);
REP01;Réparations majeures / maintenance technique;
CAN01;Achats matières premières cantine (nourriture);
CAN02;Personnel cantine (si distinct);
HEA01;Infirmerie / soins / matériels médicaux;
HYG01;Produits d'hygiène et premiers secours;
TRA01;Transport scolaire (chauffeur, contrat);
FUE01;Carburant et lubrifiants;
MAI01;Entretien / assurance véhicule(s);
REP02;Transport excursions / voyages scolaires;
OFF01;Fournitures de bureau (papier, encre, stylos);
PRT01;Impressions, photocopies et reprographie;
POS01;Affranchissement, courrier et logistique postale;
COM01;Communication & marketing (site, flyers, réseaux);
EVT01;Evénements & cérémonies (fêtes, remises de prix);
LEG01;Honoraires juridiques / frais administratifs;
AUD01;Audits, contrôles externes et conseils (compta, fiscal);
CAP01;Achats immobilisations (bâtiment, terrain);
CAP02;Mobilier & équipement (tables, chaises);
CAP03;Matériel scientifique / ateliers spécialisés;
DEP01;Dotation aux amortissements / provisions;
PRO01;Projets spéciaux (construction, extension);
BAN01;Frais bancaires et commissions;
INT01;Intérêts sur emprunts;
SUB01;Bourses, aides financières et réductions élèves;
MIS01;Divers / petites dépenses non classées;
CON01;Pénalités / amendes / procédures;
DON01;Dons et mécénat (si payé par l'établissement);
